Ee Egamma t theta
49.6941 57.4157 -1.20049 3.02733
48.0741 52.0759 0.435187 3.07583
48.6335 65.4043 0.0603981 3.09391
49.5083 53.1729 1.30978 3.13149
51.5234 45.9163 1.48234 3.13933
53.0754 53.1442 0.477801 3.02314
55.5772 48.0964 -0.472732 3.08848
49.3841 56.9965 -0.13173 3.09107
42.0442 45.866 -0.874108 2.77515
55.6917 54.3023 -0.847069 3.08079
48.3435 51.6231 -1.05047 3.05209
41.0025 53.0307 -0.812657 2.98207
57.5095 54.5205 -1.05266 2.84156
39.4015 51.7176 1.61435 2.96269
49.0612 55.4672 0.253375 2.97542
49.4058 48.0615 -2.15166 3.1274
58.3032 49.4128 0.103504 3.03301
46.7133 59.3418 0.781655 3.00459
52.5228 41.9199 -1.44459 2.8588
58.4871 53.8651 -1.32545 3.13086
48.3746 50.2385 0.59821 3.08845
61.1777 50.2255 0.229442 2.99346
55.624 51.4033 0.571133 3.04586
52.6191 48.2896 0.239049 3.12299
61.6117 49.5785 -1.14175 3.13024
40.4541 51.1345 -0.0765206 2.69776
52.9426 53.152 -0.486769 3.00204
54.8502 49.1311 -0.133931 3.08865
45.1245 51.5295 -0.1639 3.09789
48.4608 56.6046 -1.42401 3.13726
50.4011 61.6379 -1.61096 3.03322
45.7525 52.2919 0.885107 2.93049
52.3971 55.6224 -0.460946 2.97149
52.2616 52.726 -0.126471 3.05652
53.7931 56.4774 0.663496 3.1375
47.2212 49.3029 0.374861 2.92195
54.1519 55.7722 -0.868406 2.96647
56.6979 49.4372 1.80779 3.06996
59.7107 54.9085 0.281823 3.08313
57.6181 51.7014 -0.371296 2.95639
51.148 53.3223 1.57708 3.02547
49.5442 56.7916 -0.345945 3.1196
55.6606 47.3882 1.26054 3.08197
52.8771 61.8177 1.15611 3.06402
59.6115 48.2991 0.557279 3.1165
54.8463 52.5844 -0.0681905 3.09192
42.1674 58.1173 -0.626873 2.89807
55.1149 53.0018 0.888586 3.05863
49.1774 53.6082 1.21634 3.02946
58.486 59.6694 -0.633901 2.95034
53.8573 58.0642 -1.33681 3.02196
48.1449 51.3503 0.437187 3.03553
56.0639 49.2491 0.470769 3.07729
49.9742 50.6395 0.136455 3.09643
57.1999 52.7537 0.594578 3.11627
48.6224 47.8292 -0.85307 3.0489
52.8874 50.1314 0.274985 3.13842
58.841 56.6488 -0.0255972 3.01396
55.9778 49.1277 0.202154 3.0228
48.362 41.6015 1.13123 2.97284
49.1402 59.8485 1.80311 2.94374
64.7363 46.9484 0.477731 3.05067
59.0266 47.1326 -1.07679 2.97377
53.8504 48.8643 1.61728 2.95581
51.2575 54.1622 0.379297 3.0073
52.8133 54.3486 -0.478119 3.04896
46.9767 57.1389 1.02067 2.98962
54.7688 50.2776 0.0880069 2.99101
61.366 53.3616 -0.0831503 2.89992
49.8957 57.4826 2.6828 3.07755
47.4859 49.121 -1.00717 2.92365
57.42 57.8877 -2.75953 2.93581
47.8352 40.7066 -0.269389 3.02395
58.9588 53.2383 -0.373551 3.02912
47.6889 59.2255 0.281696 3.11905
51.4101 54.4997 -0.634 3.02274
52.3013 49.6683 0.752088 3.13921
50.6062 53.26 -0.837909 3.10626
48.1229 50.984 -0.674123 3.06958
59.4416 58.1329 0.90058 3.02307
57.2546 48.722 -1.63169 3.13594
57.0192 55.2509 0.50293 2.66677
49.7816 43.8052 0.477533 2.96072
46.9519 48.0035 -0.0360469 2.72578
52.6832 48.9942 0.969533 2.80267
47.6412 54.9201 -0.97985 3.05431
41.631 45.3347 1.68177 2.97347
50.0106 54.9101 -0.750955 3.07662
63.3379 50.1843 1.2836 2.93595
52.7285 49.3342 -0.0662395 3.04386
51.3317 51.2479 0.33131 3.10067
55.1808 54.0527 1.81414 3.12559
58.2671 49.9341 2.73176 3.03587
45.5862 46.6926 -0.900317 2.92956
55.525 37.936 1.64886 3.06039
46.8721 50.6047 1.25904 3.09174
47.2119 44.6497 1.45356 2.96074
45.3582 59.2589 0.365376 3.05799
46.7409 42.7314 1.04436 2.83279
57.234 52.3961 0.98848 2.84637
45.4014 50.382 -1.57467 2.86514
52.3417 49.8042 0.277504 2.89363
44.5316 55.1954 -1.60794 3.02065
48.1448 51.7579 -1.50216 3.14116
45.7677 49.0364 0.840393 3.12865
55.2539 54.2561 0.207538 3.0165
51.0444 47.7082 -1.0132 2.99192
51.4552 55.9229 0.381831 2.9028
58.1992 58.1006 0.258713 3.06654
51.507 47.8097 0.0601347 2.92523
45.4486 61.1271 0.797925 3.01742
48.5441 66.378 -0.881268 3.01744
47.0765 57.8519 -0.232092 3.02175
49.6732 50.9036 -0.407252 3.13431
48.4778 55.0223 -0.372518 3.03386
50.0946 57.2937 -0.0102851 2.91549
44.3424 56.085 0.78653 2.97441
52.7661 52.2718 0.667484 2.92681
57.9024 57.932 0.34301 2.92205
55.7258 53.1123 1.16424 2.77653
57.749 53.5194 -0.508888 3.08994
54.893 52.3458 0.590438 3.13341
52.0226 66.3538 1.88274 3.02933
49.1654 46.4672 -0.957414 3.02266
53.323 57.4128 -0.992306 2.99685
48.2558 54.7131 -0.960873 3.07486
55.7869 51.4279 -1.36161 3.10911
56.2546 42.563 -1.84289 2.95859
53.6319 59.9269 -0.00746819 2.84283
49.6995 46.2689 0.697012 3.04504
56.1797 59.858 -1.40459 2.97688
52.6743 38.937 0.294323 3.12857
56.0987 45.1808 -0.223756 3.0839
53.1998 50.5318 1.75858 3.0172
50.7863 51.0847 -0.480674 3.01102
56.7298 55.2129 1.52049 2.80042
57.4578 54.0526 -0.856701 3.11116
54.135 49.7637 -1.00322 2.75389
60.555 55.1943 -0.888131 3.08565
51.9929 57.1703 -0.564974 3.00468
48.3978 56.7886 -0.183016 3.11167
44.87 60.8641 0.0185857 2.87879
44.1909 51.271 -0.65155 2.94617
42.9607 58.4309 -1.78 2.93296
45.4947 54.8334 2.60233 3.03756
51.268 64.8272 -0.581821 3.13609
60.0308 54.18 -1.02361 3.04626
53.0517 47.439 1.39865 3.08991
49.032 53.1487 -1.89568 3.03971
58.2416 44.6072 -1.4639 3.1366
53.6177 60.6865 1.10432 3.00612
52.0274 60.5791 -1.67153 3.10952
55.7542 50.2729 1.22933 3.06793
51.7998 44.3684 -0.36616 2.99234
64.766 58.0098 1.73299 2.82305
48.9651 55.1751 1.3979 2.98042
57.1826 59.2773 -1.422 2.9969
58.6304 53.8166 -1.00025 3.10567
47.8088 58.4165 -1.06839 3.0095
50.0571 56.9425 0.466907 2.9803
56.6854 42.8599 1.06808 2.96446
50.0163 44.7204 0.2759 3.14138
42.028 51.122 -1.11459 2.94872
55.1189 44.7526 0.197901 2.73865
57.7559 41.1063 1.03305 2.99623
57.7603 53.1862 1.22064 3.05823
66.1637 48.443 0.848612 3.0425
55.0034 59.051 0.0080996 3.02376
48.9404 60.8312 -0.688652 3.05822
43.4161 52.5769 -1.52362 2.75469
48.6244 64.4089 1.05313 2.84457
64.2273 37.6326 -0.28681 3.12334
55.7945 49.8629 -0.620074 3.08805
50.5355 55.9526 2.43711 3.07073
51.3179 52.1232 -1.07836 3.11617
51.7742 47.3175 -0.702313 2.82744
57.7384 55.6326 -0.780593 3.09157
58.7265 50.494 -1.10456 3.09008
58.8485 50.993 0.510029 3.06323
51.8945 46.2791 -1.32532 2.9784
56.3732 50.3419 -0.946645 2.97067
52.4154 46.2803 0.0565897 3.09109
45.2999 52.2895 -0.615599 2.90164
55.3554 58.771 0.826992 2.96173
46.0485 57.8706 1.39213 3.14075
52.3468 58.2558 -0.316698 3.0084
57.8993 60.0009 -0.819803 3.12945
48.0419 51.5497 0.0565903 3.09588
58.8105 55.8635 -0.636925 2.9413
69.5451 43.2824 -0.997218 2.95306
56.258 41.8028 0.2439 3.07832
52.4562 58.5768 0.0501223 3.04509
43.169 51.727 -0.687862 3.01213
51.8524 52.9187 0.269402 3.02758
56.8609 52.2202 -0.286854 3.07758
53.6226 36.98 -0.172539 2.91879
53.2487 59.9441 -0.0350646 2.99731
61.9574 48.1606 1.24384 3.06599
49.3086 47.4216 0.206855 2.98491
49.9373 56.4591 0.509499 3.10739
51.9063 59.9776 1.03999 2.94819
54.6277 52.416 -0.166531 2.88932
53.2659 57.2655 0.339268 3.13485
39.3571 49.1719 -0.754398 3.06925
67.467 66.1713 0.990152 3.11484
56.988 52.7165 -1.52381 3.08064
54.1309 49.7781 0.381208 3.05586
43.6426 49.9872 0.14648 3.07559
42.6472 56.228 -0.293341 2.77504
63.2078 50.9444 0.820269 2.95709
51.9585 50.1451 -1.81184 2.94126
58.5017 55.2057 0.696662 2.90306
54.6577 49.2421 -0.0533145 2.63609
53.0681 53.6284 -0.820743 2.94577
50.4003 53.0719 -0.560027 3.11069
49.653 51.4337 0.197663 2.92501
54.9317 48.387 -1.14516 2.83705
52.4284 53.2757 -1.86951 2.92026
50.0028 48.6089 0.0014388 2.89033
50.8971 48.8584 0.902915 3.1305
45.5273 51.7535 -0.482506 3.00882
58.7178 63.8254 0.0438218 2.71931
48.8627 51.627 -0.761339 3.10795
53.361 49.7608 1.46479 2.90426
57.0328 50.9466 0.101125 2.88651
50.9498 57.497 -0.679394 3.08581
46.4687 48.3396 1.29079 3.13921
48.4808 53.9044 -1.18934 2.80253
47.9921 48.0934 0.832358 3.13953
47.3696 51.0543 -0.333618 2.76674
46.2468 49.9422 -1.92596 3.06745
52.0025 54.6835 -0.792002 3.05678
57.0699 59.195 0.0605176 3.09255
49.7258 50.3653 -1.54951 3.07798
61.213 51.1908 -0.486064 3.13616
52.6354 51.4611 0.0860571 2.94986
48.3227 51.2219 -1.51344 3.11357
58.9237 49.171 -0.757297 2.92056
47.2291 48.8288 0.194989 3.11003
58.5152 63.6827 -0.0357411 2.98979
51.404 46.6878 -0.263792 3.04706
54.5412 50.9868 -0.424646 3.02098
49.2156 34.6195 1.40423 3.02946
56.0364 49.1885 -1.16447 3.12558
52.0664 51.3705 0.907346 2.91157
49.1592 54.4788 0.289075 2.80388
46.0764 44.3541 -0.280324 3.12093
53.7726 58.0972 -1.60153 3.08387
55.3558 51.161 0.779911 3.08875
51.5057 49.6388 -0.932219 3.10213
51.4882 53.142 0.13161 3.07329
52.5841 54.9358 -0.815125 2.85905
45.2046 48.1844 0.103406 2.99239
44.6861 48.2593 2.02288 2.82843
56.1315 53.3359 0.0666943 3.01384
50.2236 58.0154 1.05043 2.88007
47.5329 55.5727 -0.358793 2.77138
56.6127 56.7207 -1.02547 3.08604
50.7951 54.1483 -0.0104654 3.03116
59.6731 57.6319 1.32673 2.99006
47.8092 61.6131 0.59933 3.02423
54.5854 64.8713 -0.653126 2.94226
51.2824 53.7887 0.654034 3.00804
54.1879 57.5233 -1.3925 3.07927
36.2124 51.9325 2.7447 3.09002
55.5323 56.676 1.00256 3.13729
50.6118 66.8086 1.20905 3.05293
52.649 52.4727 -0.39696 3.05897
50.323 46.4675 -0.611434 3.00477
58.0045 58.9797 -0.548911 3.10797
41.7158 48.7792 -2.71301 3.05908
58.9043 54.3254 1.29949 2.998
47.3159 60.973 -0.0589163 3.01249
59.8983 36.8699 0.830448 3.00232
49.505 55.766 -1.36777 3.111
47.2743 56.7303 -1.08645 3.02167
52.7736 52.7986 0.755361 3.06715
47.8793 47.5516 -0.775977 3.13306
57.4537 43.874 0.77933 2.82968
47.1073 52.9581 -0.241079 3.06627
56.9523 50.7499 1.79682 3.0657
60.4015 46.9371 0.762425 3.05636
46.8507 50.0545 1.27199 3.07361
39.9867 54.0837 0.38128 3.08985
47.883 52.8334 -0.380579 2.81358
61.8403 59.1006 0.406918 3.00576
56.8715 51.3198 0.577396 2.92682
68.2079 49.9065 -0.118168 3.0961
51.6285 53.3508 1.46292 3.13673
46.8098 56.1881 0.410291 3.08801
62.0797 45.306 1.58311 3.01504
62.4125 46.0089 -0.00581702 3.12888
56.2866 47.8166 0.0821941 3.11525
55.7388 53.1708 -1.6728 2.83765
51.0506 58.7025 -0.107153 2.95859
50.6278 57.5611 -0.37452 2.94232
49.3033 52.7916 -0.939405 2.92861
56.0157 56.9244 1.3377 2.92235
44.3929 45.8831 -0.842659 2.97025
51.5526 48.6422 0.090323 2.92162
54.0161 52.6199 -2.76653 2.73368
50.9841 48.8084 -0.0977317 3.12705
44.9084 50.822 0.734199 2.68224
49.7743 50.0254 -0.371223 3.13543
59.4218 48.5716 0.284188 2.95043
54.5416 46.8191 -0.364901 3.04967
48.1294 41.2292 -0.637277 2.88646
51.2384 57.3282 -1.1898 3.1401
54.6507 53.4215 1.30801 3.06518
59.347 42.8896 -0.726571 3.11902
52.9364 51.2138 0.583627 2.70814
56.0408 62.2297 -0.953335 2.98522
41.7282 53.8948 1.53361 3.04767
49.9333 69.8238 1.09803 3.10205
64.0824 56.7403 0.504974 2.9623
55.3688 65.1001 -0.313625 3.01559
67.2178 53.2386 -0.715135 3.05839
59.4351 57.5843 -0.568999 3.0771
66.2228 54.1832 0.564755 3.0505
45.5214 49.2929 0.391869 2.89318
56.6576 52.3338 1.06816 2.85782
51.2805 55.3558 0.61997 2.99786
57.8006 48.6942 -0.878364 2.98687
55.6363 44.7324 -0.163071 3.05304
49.6414 55.9583 -1.65909 2.99294
53.7311 50.3338 -1.20967 3.06332
54.0441 60.4158 1.69712 2.98777
53.4898 51.2612 1.71057 2.95776
49.0741 49.1385 -0.424577 3.09929
48.9583 55.7229 2.21971 2.91486
57.8962 57.0237 0.235553 3.0484
53.9674 50.3822 -2.37864 2.91512
50.2359 47.6832 -1.23887 2.94925
55.2922 50.9124 0.989824 2.98059
57.6858 60.4896 0.645927 3.1316
51.6393 53.2512 -0.528808 2.94436
55.1576 50.1245 -0.178556 2.97087
54.172 50.523 1.72052 3.12234
56.381 43.73 0.160529 3.05447
57.7134 60.3123 -1.11473 2.87239
57.5225 53.4679 -0.813884 3.00773
60.374 55.8224 0.279873 2.999
52.7869 55.014 0.567449 2.68515
53.1299 46.9139 0.021268 2.88411
48.1735 53.5476 -0.00964449 3.07531
61.4906 50.3797 0.644077 2.91698
47.3308 57.5579 0.431651 2.79749
46.4291 50.9238 0.0573324 2.87774
52.977 55.8067 -2.043 2.97626
52.5479 48.3584 0.263481 3.09865
48.6189 48.6127 -0.439674 3.0573
50.7605 45.9737 0.416577 3.1229
53.1281 46.4108 -1.72642 3.01518
51.7801 45.8444 2.07554 3.11078
47.9865 53.0314 -0.202759 2.89577
48.747 51.813 -1.16478 3.07901
64.4295 52.377 0.799291 2.98027
48.8971 50.1216 0.923164 3.13973
49.3687 57.7042 1.36183 2.89265
52.6029 52.3118 0.057631 3.00753
50.913 55.3268 -0.60984 3.04698
47.8822 56.1427 -0.512498 3.10741
47.2467 53.6178 -1.77825 3.0849
45.3503 48.8345 0.54065 3.09989
51.7836 61.3348 1.28873 3.08424
49.7855 50.3125 -0.579646 3.11678
51.1882 59.2772 0.673235 3.01544
53.3528 50.8189 0.379949 2.83714
49.9662 49.9707 0.666815 3.09479
48.6391 40.1265 1.00416 2.96058
57.1976 61.0326 0.180594 2.83965
52.6288 52.5275 0.997082 3.11646
53.2382 64.0113 -0.493492 3.13703
46.1719 45.3375 1.18397 3.12089
56.8236 65.2528 0.0784152 3.09529
58.5061 56.9252 -0.0992711 2.95493
55.1173 48.241 -1.40306 2.83167
49.0529 57.1047 0.798352 2.75378
52.9885 48.3603 0.680689 3.07336
50.0685 36.3727 -0.250096 2.81127
47.8326 62.1782 0.863039 3.14028
51.6438 46.9454 -2.21361 2.99649
55.2067 52.1472 -1.21754 2.93462
54.0086 56.2323 -0.769163 2.95534
54.3316 57.9114 -0.425114 2.81275
47.8543 51.8398 -0.320192 3.08595
50.2298 62.6278 -0.757698 2.93603
54.763 51.2436 -0.394623 2.9453
60.9814 54.9075 0.0102151 3.12663
57.111 64.5578 -1.06135 2.99979
50.8686 45.2438 -0.100548 2.97159
45.9591 52.4445 -0.812666 2.93321
57.8253 60.1432 2.33515 3.13144
51.7776 49.8739 0.211602 3.03179
44.7607 55.6677 -0.534493 2.98157
54.1405 39.2012 0.428593 3.06352
52.0351 46.9356 -1.74965 3.11291
51.5669 49.1579 3.10791 3.10978
50.1664 62.407 0.492816 3.02701
51.7216 53.9177 0.395159 2.98419
64.6991 46.2258 0.0288509 2.96053
57.3758 50.0418 0.674913 2.9089
49.6793 49.9274 0.376976 3.03942
53.7158 51.0842 0.358931 2.97122
50.0758 52.2741 0.140084 2.90314
50.4035 51.1796 0.854925 3.05511
54.2215 56.9115 1.42899 3.01026
54.4678 53.5992 -0.0164852 3.03501
50.8869 53.5489 -0.0309235 2.89057
54.9716 54.205 -0.0624976 2.84912
51.227 51.0279 -1.87056 3.03551
46.5126 50.9642 -1.03268 2.85339
39.8916 45.824 -0.0682785 3.06783
49.5852 54.559 2.71129 3.06419
62.1585 54.5466 1.25128 3.02047
54.7261 52.3354 -1.93409 2.7946
49.5481 57.3233 -1.26024 3.07631
54.8996 55.5826 -0.162957 3.04773
51.0087 54.7852 0.205464 2.88852
58.4176 54.7583 1.21325 3.11703
56.6578 51.6155 -1.61306 2.90715
54.6807 49.9651 0.42058 3.05328
62.9816 54.0328 -1.19913 2.64588
43.8072 49.3442 -1.11222 3.02494
52.7422 49.4453 0.514827 2.78109
53.4758 59.1241 -0.57132 3.13471
58.3273 51.923 -0.367896 3.03963
55.7604 57.1446 1.33884 2.85667
52.417 57.358 -1.42985 3.07615
62.2192 50.988 -0.128626 3.02408
45.8553 44.4448 -0.817529 3.11789
50.1916 52.8969 1.59666 2.95427
51.8201 42.9083 -0.215126 3.07467
48.654 55.3995 0.230962 3.03357
56.6099 63.0424 1.55405 2.99536
59.686 57.7144 -1.26249 2.70748
46.9577 46.8536 -0.815979 2.98321
49.8961 51.3984 -0.444605 3.0943
47.8965 59.0299 -1.32921 3.10753
53.2401 62.4453 0.768234 2.97631
55.9417 61.3875 -0.388864 3.07337
61.3878 64.2242 1.68156 2.87951
56.6564 59.5651 0.771955 3.0345
45.8802 69.7305 2.50075 2.81513
62.2992 54.8078 -1.34566 3.03724
58.0041 59.1169 -1.27818 3.05191
53.9772 47.005 -0.411036 3.08824
55.9346 58.0167 0.711531 2.94032
51.5562 51.7723 -1.3232 2.78292
42.0056 46.2187 1.20528 3.02053
64.3431 64.3278 0.162364 2.96565
59.1146 57.3719 0.551145 2.87783
47.2416 46.5248 -0.0728485 3.11505
54.7777 56.1431 0.130748 3.12712
51.419 49.4258 -2.72086 3.03362
61.0958 53.4769 0.0067201 3.11212
62.0844 50.243 -0.357417 3.05845
57.9251 54.2003 0.180721 2.99731
51.6849 54.5678 1.39837 3.06892
54.4332 53.4551 0.793361 3.04133
46.5212 48.5194 -0.162684 2.86937
52.7278 60.4691 -0.711742 2.84671
55.3575 50.1758 0.670367 2.71445
50.0273 53.4928 -0.720965 2.97309
54.8525 50.2093 -1.04914 3.06884
59.0061 48.4788 -0.554196 3.01366
48.5288 52.1356 -0.179602 3.00721
45.9873 47.1325 -0.609923 3.03218
59.4113 52.538 0.313574 3.08459
49.6745 42.2607 -1.2023 2.82082
47.7353 52.2654 -0.918995 3.04995
54.2565 42.2414 -2.81862 2.91989
41.875 49.6179 -0.0696148 3.1403
47.7379 55.4923 -0.207542 3.06545
42.9271 54.5938 1.73102 3.03557
57.701 56.6261 0.111429 3.0545
48.6059 62.1316 -1.15367 3.00076
61.6812 60.1918 1.0944 3.01039
65.7463 52.581 -0.23852 2.97844
47.9969 42.4572 0.961414 2.93261
60.0682 54.177 0.0827968 3.13309
56.1642 59.0002 -1.1151 2.83296
60.9848 42.3246 1.27808 2.87029
41.977 51.4654 2.89853 2.99455
55.1275 47.8249 -1.3908 2.97027
47.6264 48.8127 -0.103609 3.099
54.5942 52.3862 -0.986289 3.07648
56.1283 43.0235 -0.299021 3.09375
53.5255 55.7982 1.05178 2.88125
53.9213 47.0347 0.142782 3.08686
52.5912 49.8509 -1.35314 3.12224
61.8691 47.8729 -1.83479 2.85367
54.4142 52.967 0.819528 2.9848
52.0053 50.318 -1.0472 2.99508
57.9663 54.4604 0.546016 2.92151
42.9586 54.7261 1.046 2.96192
55.3664 52.0153 0.707373 2.89591
47.0423 49.3293 -0.0715189 3.10681
60.924 52.4216 2.55301 3.07043
52.4237 53.5063 2.30434 3.11438
49.9049 56.5844 0.890155 2.9692
42.961 57.2971 1.36157 2.7371
52.0118 61.6311 -0.380438 3.11259
39.085 55.8862 1.14339 2.92439
48.1377 52.3791 -0.574101 3.11589
57.7886 55.2853 -0.342647 3.08815
56.8341 52.8219 -2.23977 3.12834
60.2048 54.5149 0.696014 3.12259
51.1692 46.0375 0.808521 3.12546
55.022 55.2972 0.805065 3.11514
50.5563 50.4576 -1.6232 3.03633
54.0014 44.743 0.33853 2.95663
56.1287 54.3138 -2.01849 2.97262
46.063 57.1744 0.478766 2.87923
52.5194 54.3224 1.16026 2.95987
56.6253 51.8563 1.12119 3.11369
54.9145 50.7897 0.855302 3.07517
59.359 44.2536 3.17074 3.03857
54.2242 51.529 1.80552 3.10525
47.1864 54.7089 0.959872 2.90638
46.3631 56.0608 -0.251454 3.12115
59.0425 60.9652 -0.610146 2.89249
48.482 56.2019 -0.0242157 2.92274
59.6912 54.5201 0.440237 3.02013
57.9325 63.429 -1.68116 3.05296
53.3363 58.0976 0.293343 3.04531
48.3544 57.0317 0.475139 3.01487
42.5022 53.8851 1.42227 3.13065
59.5083 52.6502 -0.319974 2.84515
49.5998 52.581 0.589858 2.87848
50.2541 49.8956 -1.33664 3.12393
52.1119 59.9603 -1.71174 3.09915
57.9044 59.2765 0.346103 3.07458
54.9771 50.2522 0.623127 2.84997
56.4689 49.1875 0.534037 3.07886
47.8089 55.2885 0.402004 3.08666
52.916 54.8146 -0.892852 3.10236
44.4576 49.0949 0.781691 3.11903
51.1771 56.5784 0.286228 3.07647
50.1961 51.6304 -2.42786 2.96127
44.1358 46.3826 -0.78839 2.71418
42.0874 66.1778 1.40703 3.10628
54.8967 53.0417 -0.998496 3.13638
53.1333 57.0605 0.530997 3.12805
51.5372 56.5754 -1.22449 2.94229
61.1114 43.8085 0.339018 3.05213
53.2715 55.9567 0.634329 3.10242
51.3256 44.8577 -0.95788 2.88355
58.8322 57.4144 0.905551 2.854
49.1387 49.604 -1.98382 2.84914
48.928 51.9359 -0.882333 2.9845
44.5292 44.2559 -1.80609 2.81405
50.0531 54.7645 -0.900731 3.11912
54.4009 52.1451 1.86261 2.98132
58.3231 63.3837 -0.830927 3.00483
62.119 49.9275 0.92424 3.05909
42.6583 51.7906 -0.966705 2.80791
54.7255 45.3311 0.247717 3.11182
52.5944 55.7152 0.679075 3.08365
52.5101 50.3082 1.37401 3.04993
55.4124 58.3921 0.322693 2.90753
54.5718 54.2666 -1.48214 3.06747
47.8508 60.0176 0.540881 3.08515
59.2591 51.9538 0.668346 3.05249
52.2868 44.4485 -0.100639 2.85789
49.3828 53.6104 1.51261 2.89037
50.9927 47.5033 -0.0112539 3.07708
51.8148 51.8095 1.68077 3.1297
45.0167 44.1856 0.326979 3.02472
53.1244 54.6537 -0.14576 2.9212
46.0046 54.4722 -1.49449 3.09411
49.2521 49.2562 -1.72383 2.78859
46.1097 54.2248 0.0758025 3.01143
51.1318 56.3426 -1.5166 3.07368
51.4861 52.6954 -0.00775306 3.09481
54.1796 54.7309 -0.13998 2.63234
49.2469 44.2717 0.362861 3.09815
57.1617 61.1547 0.965524 2.94575
54.3213 47.6203 0.775553 3.04779
53.4887 58.1128 -0.813264 3.07866
58.6892 56.2898 -0.0789879 2.97101
44.1233 51.7421 2.77001 2.97639
52.0671 56.3273 -0.770772 2.97552
55.1852 52.4938 -0.653721 3.05814
59.6707 56.7876 1.08685 3.01833
50.7909 46.4031 1.00372 2.964
49.9499 46.738 0.0708052 2.93056
53.9765 50.2404 -0.368828 3.05328
47.4007 52.9957 1.25721 3.09415
58.0358 52.41 0.696239 2.89665
55.6255 56.8716 -0.227624 3.10936
53.8567 50.6194 0.711772 3.03565
55.0731 51.468 -0.10913 2.80717
41.9253 50.0037 -0.604093 3.13066
56.6406 38.598 -0.256654 3.03238
60.5426 60.7022 -0.392462 3.12644
51.689 48.2474 0.469161 3.05969
39.4594 53.069 -2.1549 3.02207
61.8985 55.4518 0.388718 3.01536
47.1065 47.5475 -0.192375 3.02401
43.7839 58.2414 -0.157223 2.93495
50.65 53.5277 1.59727 3.08593
49.3316 47.8345 -0.656006 3.00426
59.6491 50.8761 0.258949 2.99236
48.8614 54.3871 0.551688 3.12545
49.8436 51.192 -0.784307 2.92245
55.1409 52.8064 0.748539 2.94102
61.6616 54.2566 -0.910904 2.92138
37.8644 57.7821 1.80487 2.75035
52.6662 56.2797 -0.219095 2.84346
49.3443 53.6174 0.570866 3.07958
40.6579 57.5648 1.91739 3.11615
59.8028 58.8031 -0.206735 3.04234
49.4478 55.2417 0.270308 2.954
53.7041 57.1184 0.968862 3.1213
66.4779 51.9033 -0.488528 3.10347
50.2087 50.9753 -0.651293 3.13784
